Depth,TotalInstructions,MemoryOperations,BranchInstructions,InputDeps,unroll_factor
1,47,21,12,57,256
1,41,14,10,22,16
1,48,21,15,37,32
5,57,25,10,23,2
3,14,4,3,12,32
1,16,5,2,9,32
3,16,6,2,9,16
2,76,34,13,41,32
4,34,13,3,12,2
1,51,14,16,73,32
2,15,7,6,11,16
1,17,7,3,9,32
1,27,8,7,14,32
2,12,7,4,8,32
1,15,5,2,4,8
3,9,5,4,5,32
5,73,36,13,41,32
3,65,21,14,39,32
1,15,6,3,9,32
1,19,7,5,8,32
1,12,7,3,11,32
3,9,4,1,3,32
3,120,45,27,54,64
1,30,11,8,13,32
1,15,8,3,9,32
1,44,11,14,38,32
1,11,3,3,9,32
1,74,33,11,42,32
1,50,17,13,38,32
1,13,4,4,2,32
1,19,8,4,10,16
1,19,9,4,6,32
1,48,11,16,36,32
1,14,6,3,19,32
1,14,4,5,7,32
2,12,7,2,4,32
1,13,6,2,6,32
1,27,9,6,13,32
3,28,14,1,46,32
1,119,44,30,58,64
3,46,17,13,35,32
1,10,6,1,4,32
1,119,48,28,55,64
3,24,9,6,42,16
1,66,31,17,31,256
2,27,9,5,12,32
3,12,3,5,8,32
2,25,12,8,6,32
3,9,4,2,12,32
3,47,15,12,38,32
2,44,14,14,64,32
6,33,15,2,14,2
1,10,4,1,4,32
1,17,5,3,2,16
3,14,5,2,8,32
3,76,32,13,40,32
1,16,5,3,6,8
1,20,7,5,20,32
3,24,8,5,12,32
3,13,8,1,3,32
2,10,5,1,6,32
1,9,5,1,5,32
3,15,9,2,7,32
1,69,29,17,28,256
1,24,12,2,15,32
2,19,9,3,11,16
1,12,6,3,6,32
1,11,4,1,4,32
1,51,18,12,54,256
2,16,7,4,5,32
1,62,21,22,26,64
3,56,26,7,21,2
1,10,5,2,2,32
1,60,21,22,23,64
1,28,10,7,10,32
1,53,16,6,15,16
1,8,4,1,2,32
1,17,11,2,23,32
2,30,12,1,46,32
2,38,15,9,16,32
2,15,3,6,16,32
2,55,25,9,20,2
1,12,6,4,2,32
2,44,14,10,19,16
1,67,28,17,32,256
1,167,69,44,76,256
1,14,4,4,14,16
5,75,35,11,41,32
1,16,6,1,5,32
1,28,14,3,43,32
1,27,10,2,44,32
1,15,5,3,4,16
1,45,11,14,66,32
2,76,32,10,41,32
1,44,12,13,66,32
3,33,13,3,15,2
1,67,28,15,31,256
1,26,9,6,11,32
1,27,11,5,46,32
7,31,15,5,13,2
3,40,10,9,26,256
2,5,4,1,4,32
3,72,32,14,43,32
2,76,33,13,39,32
1,9,1,1,4,32
1,15,8,5,11,32
3,16,4,1,9,32
2,13,5,5,8,32
2,15,6,4,6,32
2,16,6,4,14,32
1,15,5,1,9,32
4,15,5,3,11,32
1,35,15,2,25,32
3,17,5,2,25,16
1,28,10,6,14,32
1,25,10,3,12,32
3,30,8,7,13,32
1,68,30,16,31,256
2,31,13,3,46,32
1,44,12,16,34,32
1,48,19,10,53,256
3,51,15,15,76,32
1,37,12,10,27,256
3,60,20,20,25,64
1,63,18,15,40,32
2,54,16,15,75,32
1,30,12,5,10,32
3,47,11,14,63,32
1,28,11,5,9,32
2,40,11,8,29,256
3,14,7,5,3,16
1,25,11,4,14,32
1,11,7,1,2,32
1,11,3,5,15,32
3,22,7,2,17,32
1,39,18,9,12,32
5,33,11,5,12,2
3,27,12,6,14,32
3,22,9,5,13,32
2,18,7,2,6,8
1,53,14,9,11,16
1,27,9,4,12,32
2,27,10,6,10,32
1,49,12,7,11,16
1,12,6,2,6,32
2,12,7,4,2,32
2,16,5,3,17,32
1,66,31,14,30,256
1,60,21,21,24,64
1,17,7,6,3,8
1,40,12,11,28,256
3,37,12,12,26,256
1,49,12,6,13,16
2,18,7,1,13,32
1,10,4,1,3,32
1,29,8,5,14,32
3,23,10,1,15,32
1,22,9,4,13,32
3,16,5,2,8,32
3,15,4,4,13,16
2,11,5,4,3,32
1,14,5,4,3,16
1,24,13,8,24,32
3,9,7,1,5,32
2,23,6,3,14,32
1,28,9,9,10,32
2,35,13,2,22,32
2,45,12,13,62,32
1,9,7,2,6,32
1,15,4,4,9,32
2,23,12,2,15,32
1,38,17,10,12,32
3,15,6,2,27,16
1,24,10,2,12,32
1,31,14,1,45,32
1,14,5,7,17,32
3,10,6,1,2,32
1,13,3,5,7,32
3,12,4,1,7,32
3,49,18,13,37,32
3,46,13,16,34,32
1,51,18,20,21,64
1,13,6,4,7,32
3,33,15,3,21,32
1,13,3,4,27,16
1,15,3,4,2,16
1,54,18,21,19,64
1,13,4,1,7,32
1,34,12,5,22,32
2,25,12,3,13,32
1,37,15,9,14,32
1,39,13,11,27,256
1,16,6,3,11,32
2,38,18,8,12,32
1,8,3,1,11,32
1,14,3,3,5,16
1,8,2,2,1,32
1,17,5,4,9,32
2,13,6,1,23,16
1,8,5,3,4,32
1,10,4,1,2,32
3,168,70,44,77,256
3,15,4,5,8,16
2,51,18,17,19,64
3,52,16,15,76,32
1,41,16,9,14,32
1,15,4,1,12,2
3,118,45,28,56,64
3,51,18,17,21,64
3,15,4,4,10,2
1,18,11,1,22,32
1,52,16,12,73,32
4,14,4,1,9,32
4,73,32,10,39,32
1,26,10,5,13,32
1,13,4,3,25,16
1,24,10,3,11,32
1,14,7,5,7,32
1,31,12,2,44,32
1,64,21,15,42,32
3,25,11,8,6,32
1,37,10,8,27,256
1,40,16,9,16,32
2,9,5,4,4,32
1,48,21,13,55,256
1,14,7,5,11,32
1,23,7,2,14,32
1,37,15,4,22,32
5,75,35,10,42,32
1,21,9,2,22,32
1,73,33,12,39,32
3,12,7,4,9,32
2,119,48,27,56,64
1,45,22,10,30,32
2,34,13,4,22,32
3,17,5,6,20,32
3,13,7,4,24,16
7,35,13,5,11,2
1,10,5,3,2,32
2,30,8,9,10,32
2,167,69,44,76,256
1,12,6,4,9,32
1,69,30,17,32,256
3,26,9,6,28,32
2,24,10,4,42,16
2,5,1,3,1,32
1,41,17,7,21,16
2,53,16,14,75,32
1,17,10,1,25,32
1,10,3,5,15,32
1,12,3,3,7,32
1,17,3,6,6,8
1,28,12,7,28,32
2,43,14,9,19,16
1,11,8,1,2,32
1,30,11,7,13,32
2,16,5,3,13,32
1,25,11,7,42,16
1,14,6,5,9,32
1,17,5,5,4,8
1,49,18,11,55,256
3,168,70,45,78,256
1,14,7,3,10,16
1,15,5,1,5,32
1,11,4,2,7,32
2,16,6,5,9,2
2,10,5,3,3,32
3,38,12,9,29,256
1,168,70,43,77,256
3,48,20,12,36,32
1,14,4,1,5,32
1,63,23,20,23,64
2,13,5,5,23,16
1,14,6,5,8,2
1,18,5,1,10,32
6,32,14,4,14,2
1,48,13,12,66,32
1,167,69,43,78,256
1,46,14,13,64,32
1,60,20,22,24,64
3,13,4,2,5,32
1,25,10,7,28,32
2,10,6,3,6,32
4,32,15,6,13,2
1,14,6,2,6,32
2,17,6,5,16,32
1,23,10,4,11,32
2,44,17,8,19,16
3,48,12,16,35,32
3,11,6,5,8,32
3,27,10,3,40,16
1,13,4,2,5,32
3,12,4,5,6,32
1,63,24,21,25,64
2,49,21,15,38,32
1,17,7,1,25,32
3,12,4,2,12,2
3,60,23,18,22,64
1,14,7,2,8,32
3,120,45,30,56,64
3,41,10,10,29,256
3,30,13,5,44,32
1,25,9,6,13,32
1,36,11,5,25,32
3,15,3,4,6,16
2,14,7,1,9,32
3,20,8,1,23,32
1,13,8,3,4,32
1,10,2,5,14,32
1,10,5,4,6,32
1,17,5,5,4,16
3,23,9,3,18,32
1,7,3,3,3,32
1,11,4,4,12,32
3,169,69,46,78,256
2,45,13,13,65,32
2,35,11,1,24,32
1,16,9,1,9,32
2,16,8,5,8,2
1,5,5,1,3,32
2,12,8,3,10,32
2,66,20,17,41,32
1,40,12,9,29,256
1,41,13,12,27,256
1,12,5,5,6,32
1,50,18,14,39,32
3,12,7,1,9,32
1,65,19,17,43,32
3,26,10,2,13,32
1,27,12,7,6,32
2,51,17,17,21,64
2,9,7,4,2,32
1,52,15,13,76,32
3,41,10,12,28,256
